ID,RF,NB,LR
1,0,0,0
2,1,0,0
3,1,1,1
4,1,0,0
5,0,0,0
6,1,1,1
7,0,0,0
8,1,1,1
9,0,0,0
10,0,0,0
11,1,1,0
12,1,1,1
13,0,0,0
14,1,0,0
15,0,0,0
16,1,1,1
17,1,0,0
18,0,1,0
19,0,0,0
20,0,1,1
21,0,0,0
22,0,1,1
23,0,0,0
24,0,0,0
25,0,0,1
26,0,0,0
27,1,1,0
28,0,0,0
29,0,0,0
30,0,1,1
31,0,1,1
32,1,1,1
33,0,0,0
34,1,0,0
35,1,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,1,1,1
41,0,0,0
42,1,1,0
43,1,1,1
44,0,0,0
45,1,0,0
46,1,1,1
47,0,0,1
48,0,0,0
49,0,0,0
50,1,1,1
51,0,0,1
52,0,0,1
53,0,0,0
54,0,1,0
55,0,1,0
56,0,0,0
57,1,1,1
58,0,0,0
59,0,0,0
60,0,0,0
61,1,1,1
62,1,0,0
63,1,1,1
64,1,1,1
65,1,0,0
66,1,1,0
67,1,0,0
68,0,0,0
69,1,0,0
70,1,1,1
71,0,0,0
72,0,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,0,0,0
77,0,1,1
78,0,1,0
79,1,1,1
80,1,1,0
81,0,0,1
82,0,0,0
83,0,0,0
84,1,1,1
85,1,1,1
86,1,1,1
87,0,0,0
88,1,1,0
89,1,1,1
90,0,1,0
91,1,1,0
92,0,0,1
93,0,0,0
94,1,0,0
95,0,1,1
96,0,0,1
97,1,1,1
98,1,1,1
99,0,0,1
100,0,1,0
101,1,1,1
102,0,0,0
103,1,1,1
104,0,0,0
105,0,0,0
106,1,1,0
107,1,1,1
108,0,1,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,1,1,1
114,1,1,1
115,1,0,0
116,0,0,0
117,0,0,0
118,1,1,1
119,0,0,0
120,0,0,0
121,1,1,1
122,1,0,0
123,1,1,1
124,0,0,0
125,1,1,1
126,1,1,1
127,0,0,0
128,0,1,0
129,1,1,1
130,1,1,1
131,1,0,0
132,0,0,0
133,0,1,1
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,1,0,0
139,1,0,0
140,1,1,1
141,0,0,0
142,1,1,1
143,0,1,1
144,0,1,1
145,0,0,0
146,1,1,1
147,0,0,1
148,1,1,1
149,1,1,1
150,0,0,0
151,1,1,1
152,0,0,0
153,1,0,0
154,0,0,1
155,0,0,0
156,1,0,0
157,0,0,0
158,1,1,1
159,0,0,1
160,0,1,1
161,0,0,0
162,1,1,1
163,1,1,1
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,1,1
171,1,1,1
172,0,1,1
173,0,0,0
174,0,1,1
175,0,0,0
176,0,1,1
177,1,0,0
178,0,0,0
179,0,0,0
180,1,1,1
181,0,1,1
182,1,1,1
183,0,0,0
184,0,1,1
185,0,0,0
186,0,0,1
187,1,1,1
188,0,1,1
189,0,0,0
190,1,1,0
191,0,0,0
192,1,1,1
193,0,0,0
194,1,1,0
195,0,0,0
196,1,1,0
197,1,0,0
198,1,0,0
199,0,1,1
200,0,0,0
201,1,1,1
202,0,1,1
203,1,1,0
204,1,1,1
205,0,0,0
206,1,0,0
207,0,1,1
208,1,0,1
209,1,1,1
210,0,0,0
211,0,1,1
212,0,0,0
213,0,0,0
214,1,0,0
215,0,1,0
216,1,1,0
217,0,1,1
218,1,1,0
219,1,1,1
220,0,0,0
221,0,1,1
222,1,1,1
223,0,1,1
224,1,1,1
225,1,1,1
226,1,1,1
227,0,0,1
228,1,0,0
229,0,1,1
230,0,0,1
231,1,1,1
232,1,1,1
233,1,1,0
234,1,1,1
235,0,0,0
236,1,1,0
237,0,0,0
238,0,0,0
239,0,0,1
240,1,1,1
241,1,1,1
242,0,1,1
243,1,1,1
244,0,0,0
245,0,0,0
246,1,1,1
247,0,1,1
248,1,1,1
249,0,0,0
250,1,0,0
251,0,0,0
252,0,1,0
253,0,0,0
254,0,0,0
255,1,0,0
256,1,1,1
257,0,0,0
258,1,1,1
259,1,1,1
260,1,1,1
261,0,0,0
262,1,1,1
263,0,0,0
264,0,1,1
265,1,0,0
266,1,1,1
267,1,1,1
268,0,0,0
269,0,1,1
270,0,0,0
271,0,0,0
272,1,1,0
273,0,0,0
274,1,1,0
275,0,1,0
276,0,0,0
277,0,0,0
278,1,1,1
279,0,1,0
280,0,0,0
281,0,0,0
282,1,0,0
283,0,0,0
284,0,0,0
285,1,1,1
286,1,1,1
287,1,1,0
288,0,0,0
289,1,0,1
290,1,1,1
291,1,1,1
292,0,0,0
293,0,1,0
294,0,0,0
295,1,0,0
296,0,1,1
297,1,1,1
298,1,1,1
299,0,0,0
300,0,0,0
301,0,0,0
302,1,0,0
303,1,1,1
304,0,1,1
305,1,1,1
306,0,0,0
307,0,0,0
308,0,0,1
309,1,0,0
310,1,1,0
311,1,1,1
312,1,1,1
313,0,1,1
314,1,1,1
315,1,1,1
316,0,1,0
317,0,0,0
318,0,0,0
319,1,0,0
320,0,0,0
321,1,1,1
322,0,0,0
323,0,1,1
324,0,0,0
325,1,1,1
326,0,0,0
327,0,1,0
328,1,1,1
329,1,1,1
330,1,1,1
331,0,1,1
332,0,1,0
333,1,0,0
334,1,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,1,1,1
340,0,1,1
341,1,1,1
342,0,1,0
343,0,0,0
344,0,0,0
345,1,1,0
346,1,1,0
347,0,0,0
348,1,1,1
349,0,0,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,1,0
354,0,0,0
355,1,0,0
356,1,1,1
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,1,1,1
362,0,0,0
363,0,0,0
364,1,1,1
365,0,0,0
366,1,1,1
367,0,0,0
368,0,0,0
369,0,0,0
370,1,1,1
371,0,0,0
372,0,0,0
373,1,1,1
374,1,1,1
375,1,0,0
376,0,0,1
377,1,1,0
378,0,1,0
379,1,1,0
380,1,1,1
381,0,0,0
382,1,1,0
383,0,0,0
384,1,1,1
385,0,0,0
386,0,1,1
387,1,0,0
388,1,1,1
389,1,0,0
390,0,0,0
391,0,0,0
392,0,0,0
393,0,0,0
394,1,1,1
395,1,1,1
396,1,1,1
397,1,0,1
398,1,1,1
399,0,1,0
400,1,1,1
401,1,1,0
402,0,1,1
403,1,1,0
404,0,0,0
405,1,1,1
406,0,0,0
407,0,0,0
408,0,0,0
409,1,0,0
410,0,1,0
411,0,0,0
412,1,1,1
413,0,0,0
414,1,1,1
415,1,0,0
416,0,0,0
417,0,0,0
418,1,1,1
419,1,0,0
420,0,0,1
421,1,1,1
422,0,0,0
423,0,0,0
424,1,1,0
425,0,0,0
426,1,0,1
427,0,0,0
428,1,0,0
429,0,1,1
430,1,0,0
431,1,1,1
432,0,1,1
433,0,0,0
434,0,0,0
435,0,0,1
436,0,0,0
437,0,0,0
438,0,0,0
439,1,1,1
440,1,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,1,0
445,0,1,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,1,1,1
453,0,0,0
454,1,1,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,1,0,0
460,0,1,1
461,0,1,1
462,1,1,1
463,0,0,1
464,0,0,0
465,0,1,1
466,0,0,0
467,0,0,0
468,1,0,0
469,0,1,1
470,0,0,0
471,1,1,1
472,1,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,1,0,0
478,1,0,0
479,0,0,0
480,1,0,0
481,1,1,1
482,0,0,0
483,1,1,1
484,0,1,1
485,0,0,0
486,1,0,1
487,0,0,0
488,1,1,1
489,0,0,0
490,0,1,0
491,0,0,0
492,1,1,1
493,1,1,1
494,0,1,0
495,1,1,1
496,1,1,1
497,1,0,1
498,1,0,0
499,1,1,1
500,0,0,0
501,0,0,0
502,1,0,0
503,0,1,0
504,1,1,1
505,0,0,0
506,1,1,0
507,1,1,0
508,0,0,0
509,0,0,0
510,0,0,0
511,1,1,0
512,1,1,0
513,0,0,0
514,1,1,1
515,1,1,1
516,1,0,0
517,0,0,0
518,0,0,0
519,1,0,0
520,0,1,0
521,0,0,0
522,0,0,0
