,predictions
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,1
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,1
505,1
506,0
507,1
508,1
509,0
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,0
