,predictions
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,1
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,1
532,1
533,0
534,0
535,0
536,0
537,0
538,1
539,1
540,0
541,1
542,1
543,0
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,1
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,1
607,1
608,0
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,0
617,1
618,0
619,1
620,1
621,1
622,1
623,0
624,0
625,1
626,1
627,0
628,0
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,0
678,1
679,0
680,0
681,0
682,0
683,1
684,0
685,1
686,1
687,0
688,0
689,1
690,0
691,1
692,0
693,0
694,1
695,1
696,0
697,1
698,0
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,1
718,1
719,1
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,1
767,1
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,1
785,0
786,1
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,0
802,1
803,1
804,0
805,1
806,0
807,0
808,1
809,0
810,0
811,1
812,0
