Models,readmitted2,LR,DT-CHAID,DT-C5.0,NN,DT-CART,NB-TAN,DT-QUEST,DT-CART_BOOST,DT-CART-BAGGING,DT-CHAID-BOOST,DT-CHAID-BAG,DT-QUEST-BOOST,DT-QUEST-BAG,NN-Boost,NN-BAG,LR2,DT-CHAID-2
readmitted2,0%,40%,38%,36%,38%,38%,40%,38%,38%,38%,37%,37%,40%,41%,37%,37%,40%,38%
LR,40%,0%,21%,23%,24%,22%,30%,21%,21%,21%,27%,21%,14%,14%,28%,30%,0%,21%
DT-CHAID,38%,21%,0%,9%,6%,3%,34%,4%,9%,4%,14%,3%,18%,22%,16%,14%,21%,0%
DT-C5.0,36%,23%,9%,0%,11%,10%,31%,11%,12%,10%,17%,8%,20%,24%,15%,14%,23%,9%
NN,38%,24%,6%,11%,0%,8%,35%,5%,11%,6%,18%,7%,20%,25%,16%,14%,24%,6%
DT-CART,38%,22%,3%,10%,8%,0%,34%,7%,11%,6%,16%,5%,21%,21%,17%,16%,21%,3%
NB-TAN,40%,30%,34%,31%,35%,34%,0%,36%,31%,35%,29%,33%,36%,39%,27%,27%,30%,34%
DT-QUEST,38%,21%,4%,11%,5%,7%,36%,0%,9%,2%,17%,5%,16%,21%,17%,16%,21%,4%
DT-CART_BOOST,38%,21%,9%,12%,11%,11%,31%,9%,0%,8%,17%,9%,17%,22%,16%,15%,21%,9%
DT-CART-BAGGING,38%,21%,4%,10%,6%,6%,35%,2%,8%,0%,17%,5%,16%,20%,16%,15%,21%,4%
DT-CHAID-BOOST,37%,27%,14%,17%,18%,16%,29%,17%,17%,17%,0%,15%,25%,28%,19%,18%,27%,14%
DT-CHAID-BAG,37%,21%,3%,8%,7%,5%,33%,5%,9%,5%,15%,0%,17%,21%,16%,15%,20%,3%
DT-QUEST-BOOST,40%,14%,18%,20%,20%,21%,36%,16%,17%,16%,25%,17%,0%,6%,27%,28%,14%,18%
DT-QUEST-BAG,41%,14%,22%,24%,25%,21%,39%,21%,22%,20%,28%,21%,6%,0%,32%,34%,14%,22%
NN-Boost,37%,28%,16%,15%,16%,17%,27%,17%,16%,16%,19%,16%,27%,32%,0%,9%,28%,16%
NN-BAG,37%,30%,14%,14%,14%,16%,27%,16%,15%,15%,18%,15%,28%,34%,9%,0%,30%,14%
LR2,40%,0%,21%,23%,24%,21%,30%,21%,21%,21%,27%,20%,14%,14%,28%,30%,0%,21%
DT-CHAID-2,38%,21%,0%,9%,6%,3%,34%,4%,9%,4%,14%,3%,18%,22%,16%,14%,21%,0%
